dataset,model,mean_fit_time,std_fit_time,mean_score_time,std_score_time,param_class_weight,param_max_depth,param_min_samples_leaf,param_min_samples_split,params,split0_test_score,split1_test_score,split2_test_score,split3_test_score,split4_test_score,mean_test_score,std_test_score,rank_test_score,split0_train_score,split1_train_score,split2_train_score,split3_train_score,split4_train_score,mean_train_score,std_train_score,param_max_features,param_n_estimators
uci,Decision Tree,0.036997222900390626,0.0151820059375814,0.0058974742889404295,0.0010348664852707274,,20,1.0,5,"{'class_weight': None, 'max_depth': 20, 'min_samples_leaf': 1, 'min_samples_split': 5}",0.9968102073365231,1.0,1.0,1.0,1.0,0.9993620414673046,0.0012759170653907415,5,1.0,1.0,1.0,1.0,1.0,1.0,0.0,,
uci,Decision Tree,0.05322895050048828,0.03228021121051996,0.006383562088012695,0.001477898180256054,,20,1.0,10,"{'class_weight': None, 'max_depth': 20, 'min_samples_leaf': 1, 'min_samples_split': 10}",0.9968102073365231,1.0,1.0,1.0,1.0,0.9993620414673046,0.0012759170653907415,5,1.0,1.0,1.0,1.0,1.0,1.0,0.0,,
uci,Decision Tree,0.02887868881225586,0.003014225037071097,0.005500173568725586,0.00020134561791338413,,20,2.0,2,"{'class_weight': None, 'max_depth': 20, 'min_samples_leaf': 2, 'min_samples_split': 2}",0.9936204146730463,1.0,1.0,1.0,1.0,0.9987240829346092,0.0025518341307814827,35,0.9996009577015164,1.0,1.0,1.0,1.0,0.9999201915403033,0.00015961691939345713,,
uci,Decision Tree,0.04983677864074707,0.03203338052509815,0.006308841705322266,0.002419597075918291,,20,2.0,5,"{'class_weight': None, 'max_depth': 20, 'min_samples_leaf': 2, 'min_samples_split': 5}",0.9936204146730463,1.0,1.0,1.0,1.0,0.9987240829346092,0.0025518341307814827,35,0.9996009577015164,1.0,1.0,1.0,1.0,0.9999201915403033,0.00015961691939345713,,
uci,Decision Tree,0.041476774215698245,0.013119280481048202,0.0059223175048828125,0.00075847532657627,,20,2.0,10,"{'class_weight': None, 'max_depth': 20, 'min_samples_leaf': 2, 'min_samples_split': 10}",0.9936204146730463,1.0,1.0,1.0,1.0,0.9987240829346092,0.0025518341307814827,35,0.9996009577015164,1.0,1.0,1.0,1.0,0.9999201915403033,0.00015961691939345713,,
uci,Decision Tree,0.06007261276245117,0.02906993355995384,0.007830381393432617,0.00141611984418946,,20,4.0,2,"{'class_weight': None, 'max_depth': 20, 'min_samples_leaf': 4, 'min_samples_split': 2}",0.9936204146730463,1.0,1.0,1.0,1.0,0.9987240829346092,0.0025518341307814827,35,0.9996009577015164,1.0,1.0,1.0,1.0,0.9999201915403033,0.00015961691939345713,,
uci,Decision Tree,0.026599979400634764,0.0022000700788744913,0.008953714370727539,0.00586259055776031,,20,4.0,5,"{'class_weight': None, 'max_depth': 20, 'min_samples_leaf': 4, 'min_samples_split': 5}",0.9936204146730463,1.0,1.0,1.0,1.0,0.9987240829346092,0.0025518341307814827,35,0.9996009577015164,1.0,1.0,1.0,1.0,0.9999201915403033,0.00015961691939345713,,
uci,Decision Tree,0.031401538848876955,0.007430517038609804,0.00572509765625,0.0007458026049733185,,20,4.0,10,"{'class_weight': None, 'max_depth': 20, 'min_samples_leaf': 4, 'min_samples_split': 10}",0.9936204146730463,1.0,1.0,1.0,1.0,0.9987240829346092,0.0025518341307814827,35,0.9996009577015164,1.0,1.0,1.0,1.0,0.9999201915403033,0.00015961691939345713,,
uci,Decision Tree,0.045918846130371095,0.013638490838658618,0.008121776580810546,0.0032679524396488045,balanced,,1.0,2,"{'class_weight': 'balanced', 'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 2}",0.9968102073365231,1.0,1.0,1.0,1.0,0.9993620414673046,0.0012759170653907415,5,1.0,1.0,1.0,1.0,1.0,1.0,0.0,,
uci,Decision Tree,0.044845294952392575,0.012326932204631791,0.006393718719482422,0.0010539084643221017,balanced,,1.0,5,"{'class_weight': 'balanced', 'max_depth': None, 'min_samples_leaf': 1, 'min_samples_split': 5}",0.9968102073365231,1.0,1.0,1.0,1.0,0.9993620414673046,0.0012759170653907415,5,1.0,1.0,1.0,1.0,1.0,1.0,0.0,,
